Date,Death,Injuries,Location,description
1874-02-20,1,0,"Agency, Montana","After being ejected from school for disobedience, 20-year-old Thomas Squires, fatally shot Prof. Hayes in the abdomen three times without warning.[17]"
1874-04-09,1,0,"Lebanon, Tennessee","John R. Breckinridge, son of the late Robert Jefferson Breckinridge, attending classes in law at Cumberland University in Lebanon Tennessee, was killed by John L. Anderson, the Mayor's son. The latter was reportedly ""crazed with liquor.""[18][19]"
1878-05-24,0,1,"St. Paul, Minnesota","A 12-year-old boy, Luckert, accidentally wounded Allie McDonald, another boy at the Neill school. The bullet passed out, and the youth was expected to recover. His mother Mrs. McDonald went to the police station, but did not file a formal complaint.[20]"
1879-05-24,0,1,"Lancaster, New York","Telegraph operator Frank Shugart, severely injured Mr. Carr, superintendent of the stables at a girls' school.[21]"
1881-12-01,1,0,"Santa Monica, California","While working late on the program for the children's concert at the schoolhouse, the school master Mr. O'Donnell and one of the parents got into an argument. The parent, Mr. Williams, pulled a gun and fatally shot O'Donnell in the back.[22]"
1881-12-22,0,0,"Shelby County, Indiana",School teacher Charles J. Gregory shot at a pupil at close range because he refused to write on a slate. The bullet missed the boy. The teacher was arrested.[23]
1882-01-16,0,0,"Iola, Kansas","A group of boys shot into a schoolhouse, but no one was hurt. Two of the boys were arrested and pleaded guilty three weeks later. They were fined $9.00 each.[24]"
1882-04-13,0,1,"Huntsville, Texas","G.W. Gray, a student at the Sam Houston Normal School, wounded another student, M.J. Jordan. They were arguing over a comic valentine.[25]"
1883-02-14,0,3,"Florence, Nebraska","As some children were playing and throwing snowballs outside the Ponca Creek schoolhouse, three young men pulled up in a wagon. They engaged the children in a snowball fight. When they were leaving, one of the men, Lem Harbaugh, pointed his .45 caliber needle gun at the children, accidentally shooting and wounding three of them. Feeling great remorse, Harbaugh later surrendered himself to the authorities.[26]"
1883-11-20,0,0,"Barber County, Kansas","A bunch of drunken cowboys stopped at several schoolhouses, forcing two teachers to drink whiskey and firing numerous shots at three schoolhouses.[27]"
1884-02-28,0,2,"Danville, Virginia","As Allen Wamack, a 15-year-old boy, drove by a ""Negro"" schoolhouse, he called out ""school butter."" (an insult meaning a cobbing, or a whipping).[28] The school students ran out and attacked him, firing several shots at him, he returned fire hitting two students.[29]"
1884-03-06,0,0,"Boston, Massachusetts","As news of outlaw Jesse James reached the East Coast, young boys started to imitate him. For instance, boys armed with guns shot at police investigating their activities at the Concord-street schoolhouse.[30]"
1884-03-15,0,0,"Gainesville, Georgia","In the middle of the day, a group of very drunk Jackson County farmers were shooting their revolvers as they headed down the street, driving people into their homes. As they approached the female academy, the girls fled from the yard into the school. The gang followed and fired several rounds into the front door, but no one was hurt.[31]"
1887-06-12,1,0,"Cleveland, Tennessee","Will Guess went to the school and killed Miss Irene Fann, his little sister's teacher, for whipping her the day before.[32]"
1889-06-13,0,0,"New Brunswick, New Jersey","Charles Crawford, upset over an argument with a school trustee, went up to the window and fired a pistol into a crowded schoolroom. The bullet lodged in the wall just above the teacher's head.[33]"
1890-04-24,0,1,"Brazil, Indiana","While the pupils of the Meridian Street School were at play, Ben Corbery drew a revolver and seriously wounded 10-year-old Cora Brubach, in the face. The girl had told the teacher of Ben's misconduct.[34]"
1890-12-27,1,0,"Staunton, Virginia","At the Kable's Military Academy a 15-year-old student, A.H. Hathaway of Dennison, Texas, was accidentally killed by his 17-year-old classmate James Whitworth of Sulphur Springs, Texas, while they were playing with an old pistol.[35]"
1891-03-30,0,14,"Liberty, Mississippi","During a school exhibition and concert given at the Parson Hill schoolhouse, where the large audience was composed of blacks and whites: teachers, pupils, and spectators, an unknown gunman fired a double barreled shotgun into the assemblage. Fourteen people were wounded, some seriously.[36]"
1891-04-09,0,?,"Newburgh, New York","70-year-old James Foster, fired a shotgun at a group of students in the playground of St. Mary's Parochial School, causing minor injuries to several of the students.[37]"
1892-06-29,0,2,"Lawrence, Kansas","At the University of Kansas, two students, E. Higgins and Jack Craycroft, were injured as they were walking back to their dorm rooms after football practice. Law student Fred Bassett fired a double barreled shotgun as they passed his home, he said he had warned them not to trespass on his farm, which students frequently did.[38]"
1893-03-26,4,1,"Plain Dealing, Louisiana","During an evening school dance at Plain Dealing High School, a fight broke out. When the smoke cleared, two students were killed, two more were fatally wounded, and the high school's Professor Johnson was wounded in the arm.[39]"
1894-10-17,2,0,"Parkersburg, West Virginia","When school was let out, 15-year-old Willis Gardner, was killed and his 8-year-old brother fatally stabbed in a quarrel among a group of boys.[40]"
1898-12-13,6,1+,"Charleston, West Virginia","During the school exhibition, a group of young men tried to break up a student performance. When the teacher Fisher tried to throw them out, they turned on him. Audience members joined the fray. The fight resulted in deaths: Harry Flasher was shot in the heart and instantly killed, Henry Carney was fatally shot in the back, Ralph Jones and two others were also fatally shot, and George Gibson was shot in the hand; Haz Harding had his skull crushed and several others received minor wounds.[41]"
2/24/03,1,0,"Inman, South Carolina","Edward Foster, a 17-year-old student at Inman High School, was fatally wounded by his teacher Reuben Pitts after jerking a rod from Pitts' hands to avoid punishment. According to the teacher, Foster struck the pistol Pitts had drawn, and caused it to fire. Pitts was acquitted of murder on grounds of self-defense.[42]"
7/21/03,2,1,"Jackson, Kentucky","At the Cave Run School, James Barrett and Mack Howard argued over a card game and fought a duel with pistols, they killed each other. 12-year-old student, James Vires, was shot in the abdomen while sitting at his desk during the gunfight.[43]"
4/6/04,1,0,"Chicago, Illinois","Two students had been fighting for most of a year over a girl. In their last fight, Henry Schaze threw 16-year-old Paul Jelick to the ground, drew a revolver, and killed his rival.[44]"
11/16/04,2,1,"Riverside, California","At the Indian School, a gun fight broke out between pupils. Charles Colby was shot in the head with a pistol, then returned fire, killing Tom Bucanoros instantly, and fatally wounding Fred Smith.[45]"
12/16/04,1,1,"Magee, Mississippi","Parent, E.E. Mangum, was shot through the head and killed by the principal of the high school, Professor J.E. Woodward. Mangum had argued with Woodward, who had given Mangum's 15-year-old son a severe whipping. Mangum lost his temper, shooting Woodward through the wrist.[46]"
2/9/05,0,1,"Colusa, California","At the request of his childhood friend, Pearl Cruse, 17-year-old Elmer Hildreth, who did not attend her school, went to a meeting between Miss Cruse and her teacher. It ended in ""a hand to hand"" encounter between teacher and pupil. When Ingrim went after Hildreth with an axe, Hildreth shot him in the stomach. Hildreth was arrested and bail was posted by five prominent men in the community. Hildreth was found to have acted in self-defense and no charges were filed. Ingrim survived.[47]"
10/5/05,0,0,"Hickman, Kentucky",Parent George Nicholson killed John Kurd at a schoolhouse during a school rehearsal. Kurd had made a disparaging remark about Nicholson's daughter during her recital.[48]
12/20/07,1,0,"Chico, California","9-year-old Arthur Roberts, was shot in the head and killed outside his school during a military drill by school children of the Dayton school district. Armed with old guns believed to be empty, the children had pulled their triggers. The Roberts boy threw his hands to his head and cried, ""I'm shot.""[49]"
1/10/08,0,0,"Council Bluffs, Iowa","At around 6Â a.m., as George O Mortensen, 35-year-old janitor of the Washington street school building, was unlocking the outer door of the school, someone discharged a shotgun from only a few feet. The shot riddled the door within a foot of his head.[50]"
3/11/08,2,0,"Boston, Massachusetts","Suffering from melancholia, due to overwork, thirty-nine year-old Miss Sarah Chamberlain Weed, killed thirty-four year-old Elizabeth Bailey Hardee, then shot herself, at the Laurens School, a fashionable boarding school.[51]"
3/19/09,0,1,"Mount Vernon, Illinois","During a school performance of ""The Grand Central"", John Moake, portraying the villain, was shot in the forehead and dangerously wounded by the hero, Roy Slater. The cartridge was thought to have been blank.[52]"
6/10/09,1,0,"Trinidad, Colorado","Walter Harris, 11-year-old student, accidentally shot his teacher, B.C. Briggs in the head while on a school field trip, killing him.[53]"
8/18/09,0,0,"Bakersfield, California","After hunting doves, a group of six young men deliberately shot out the glass at the Fruitvale School. They also shot at the nearby residence of A.J. Hunter, narrowly missing several children in the rear yard.[54]"
9/11/09,1,0,"Gravette, Arkansas","John Butram, a student at the Bear Hollow School, told his fellow students that school was cancelled. The teacher A.T. Kelly insisted that the day's lesson was not over. When Butram drew a knife on his teacher, Kelly drew his gun and shot him.[55]"
1/12/10,2,0,"New York City, New York","""A black bearded maniac drew an automatic pistol"" and fired five shots into a crowd of boys at the Harlem School, who were taunting him. 6-year-old Robert Lomas, was hit and died instantly, 6-year-old Arthur Shively, was critically wounded.[56]"
3/10/10,0,0,"Ione, California","At the reform school, known as Preston School of Industry, students Albert Brown and Eugene Griffin tried to escape, stealing a revolver from the school's bakery shop. They shot at Captain William H. White when he pursued them. No one was hurt, but the boys were transferred to the penitentiary, which held adults.[57]"
8/16/10,1,?,"Lexington, Kentucky","A general fight broke out during school board elections. Lewis Napier was killed, and several other persons were hurt. Several were arrested.[58]"
4/27/11,1,0,"Manhattan, Kansas","During a school play rehearsal, a boy accidentally loaded his revolver. An 18-year-old girl who was to use it in the play said she was afraid to handle it. The teacher said there was no need for her fear and pointed it at the girl, Pearl Reedy, squeezing the trigger. She was fatally wounded.[59]"
1/31/12,1,0,"San Francisco, California","During a stone throwing confrontation near the Oriental School on Clay Street, a group of white boys found themselves trapped between two groups of Chinese boys. In an attempt to escape, Jose Aguilar, fired a BB shot air rifle twice hoping to frighten the Chinese. However, 10-year-old Wong She, had a gun and fired back. One bullet passed through Aguilar's coat sleeve as he ran and fatally struck 14-year-old James Kane in the school's rear yard.[60][61]"
2/16/12,1,0,"Lagrange, New York","14-year-old May McQuade, was killed by classmate Raymond B. Carroll. Carroll alleged the shooting was accidental and he did not think the gun was loaded.[62]"
11/19/14,1,0,"Sayre, Pennsylvania","While walking to school, 14-year-old Charles Listman, killed 15-year-old Andrew Milton, over the affections of classmate, 13-year-old Minnie London.[63]"
1/13/15,0,1,"Vancouver, Washington","During a parent-teachers' meeting, 15-year-old student, Murlan Decker, was accidentally shot by his younger brother, Luther.[64]"
2/3/15,1,1,"Jasper, Florida","20-year-old Will Yates, teacher of Clear Pond school in Hamilton county, Fla., was killed in a fight with Claude Holtzendorff and his two sons. A whipping administered in school to one of the Holtzendorff boys started the trouble. After punishing the boy Yates armed himself, and when accosted by the Holtzendorffs, shot the father through the mouth. He was in turn shot through the body, dying an hour later.[65]"
9/20/16,0,1,"Bemidji, Minnesota","Olga Dahl, the 19-year-old teacher at the Round Lake District School, was found tied to a tree near the school, assaulted and shot twice in the face. She had been working late after school, and a man with a revolver entered the school house and ordered her to obey him. He raped and shot her; she was expected to live. All available men in Itasca County joined in hunting the assailant.[66][67]"
12/26/16,1,?,"Danville, Kentucky","During the Christmas tree celebration at the Harris Creek School, with a packed room of children and visitors, a fight broke out. William Benedict, Sr. was instantly killed, William Benedict, Jr. was shot in the ankle, Bourdon Galloway was shot in the right arm, and Mike Gaddis was shot in the leg. Many others were injured. The disturbance was said to be started by Thomas Thornton, who had been drinking and was told to calm down by Benedict. Thornton's brother George left the room and returned with a revolver.[68]"
6/5/17,0,1,"Harrisburg, Pennsylvania","16-year-old freshman, Earl Wolf, was accidentally shot in the leg with a revolver around noon time, in the company of his classmates at the Central High School.[69]"
10/28/17,1,0,"Chicago, Illinois","Overnight two brothers, 16-year-old William and 15-year-old Ralph Carter, broke into the May public school, robbing the phone boxes and teachers' desks. Discovered by janitor Howard Parks and policeman Thomas Conway, a gunfight broke out. William was critically wounded and not expected to live; Ralph Carter was taken to jail.[70]"
11/29/17,0,1,"Manes, Missouri","At the Perkins school's Thanksgiving night pie supper, 21-year-old teacher Joe Todd, was mysteriously shot. He was expected to recover.[71]"
3/29/18,1,0,"Jefferson City, Missouri","At the Lincoln Institute, State Negro Normal School, 31-year-old Professor Romeo West, was killed in the dormitory by superintendent of school Theodore Martin. They were arguing over which dishes to use at a social. Martin said he shot in self-defense, fatally hitting West with three of five shots.[72]"
4/6/18,1,0,"Reeder, North Dakota","During the afternoon recess, a boy was looking over a 22-caliber rifle; it discharged, striking the head of the Coyne boy in the seat to the front, killing him instantly.[73]"
1/9/19,0,0,"Monroe City, Missouri","While school was in session, Hugh Claggett shot through the school house's front door while on his way home from work. No one was hurt, and he was fined $20.[74]"
4/12/19,0,1,"Ogden City, Utah","During a high school assembly, six boys shot off their guns. Permission had been given in the belief the guns were loaded with blanks but they had live shot. Teacher Verna Davidson was shot in the foot.[75]"
8/4/19,0,2,"Berkeley, California","Roger Sprague, an assistant in the department of chemistry at the University of California, despondent and desperate over his inability to obtain a position, slightly wounded 59-year-old Professor Edmond O'Neill, head of department, and 37-year-old Dr. Joel Henry Hildebrand, professor of chemistry, in the administration offices of Gilman Hall. He then went to California Hall and attempted to shoot 57-year-old May L. Cheney, appointment secretary, but struck only one of her hair combs before he was subdued.[76]"
2/14/20,0,1,"Durant, Oklahoma","At the Durant Normal School, teacher Albert McFarland, was seriously wounded by one of his pupils.[77]"
3/4/20,0,1,"Cincinnati, Ohio","14-year-old student, Lawrence Angel, shot his teacher, Beatrice Conner, through the arm for sending him to the principal's office.[78]"
5/1/20,0,0,"Summerville, Georgia","At the High School, 15-year-old student Alexander Potter, fired six shots at his teacher, Prof. Ransom, but missed. Potter was upset over having received a severe thrashing and expulsion. Potter was sentenced to six years at a reform school.[79]"
5/15/20,1,0,"Bowling Green, Ohio","While attending her son's school track meet, Mrs. F. Mahl was killed accidentally by a shot from the starter's pistol.[80]"
8/1/20,0,1,"Ogden, Utah","Mike Smults, the night watchman at the Utah school for the Deaf and Blind, shot a 10-year-old boy, Dennis McDonald, as he and his brother Clinton cut through the campus. The watchman said he fired into the air as a warning.[81]"
10/22/20,0,1,"Chicago, Illinois","Mrs. Carmila Rindoni went to the school and twice shot Rosalind I. Reynolds, her son's teacher, for spanking her son the day before. Mrs. Rindoni was arrested, and Miss Reynolds was expected to recover.[82]"
11/4/20,1,0,"Middlesboro, Kentucky","Prof. Barnes of Middlesboro High School was fatally shot by Adolphus Oaks, for whipping his sister the week before. Barnes had already submitted his resignation to the school board, as his students had boycotted his class in protest over the whipping. He intended to leave the city that weekend. Oaks went to jail.[83]"
2/17/22,2,0,"Valdosta, Georgia","John Glover broke into the school house, where he killed a girl and fatally wounded a boy. A mob tracked and killed Glover 7 miles (11Â km) away in Indianola, now Naylor, Georgia.[84]"
8/1/22,1,0,"Ardmore, Oklahoma","Bryant Hignight and four other students were hanging out at the outhouse of the Mount Zion school. Hignight fired two shots. One entered Raymond Guin's head, killing the boy instantly. Three of the boys were questioned, but all said it was an accident.[85]"
12/29/26,0,1,"Gettysburg, Pennsylvania","12-year-old Frederick Heilman was shot through the right instep when Gettysburg College janitor, Joseph Carver, fired in the direction of a group of boys attempting to force their way into the college gymnasium. Carver had shot into the ground, attempting to scare the boys, and was not aware that a bullet had ricocheted. Mr Heilman chose not to prefer criminal charges.[86]"
5/22/30,1,0,"Ringe, Minnesota","24-year-old Douglas Petersen, killed 20-year-old teacher, Margaret Wegman, who was standing in the doorway of a rural schoolhouse.[87]"
5/28/31,1,0,"Duluth, Minnesota","Katherine McMillen, 24-year-old teacher at the Howard Gensen rural school near Duluth, was accidentally killed by a pupil who brought a revolver to school.[88]"
9/14/34,1,0,"Gill, Massachusetts",Headmaster Elliott Speer was murdered by a shotgun blast through the window at Northfield Mount Hermon School. The crime was never solved.[89]
5/7/35,1,0,"Irvington, New York","Dr. Paul Kyle, head of the Kyle School for Boys, was found killed in the school, just before classes were to begin that day.[90]"
5/19/36,2,1,"Williamstown, Massachusetts","Lewis Jack Somes, Jr. shot and killed classmate Robert Henneberry and wounded William Hartz, Jr. before killing himself in Lehman Hall at Williams College.[91]"
6/4/36,2,0,"Bethlehem, Pennsylvania","Wesley Clow killed his Lehigh University English instructor, C. Wesley Phy. Clow went to Phy's office and demanded that Phy change his grade to a passing mark. Clow committed suicide after shooting Phy.[92]"
6/4/37,1,0,"Isabel, Kansas","16-year-old Robert Douthitt, was accidentally killed backstage during high school play practice. The revolver was to have been loaded with blanks, but it held live ammunition.[93]"
9/24/37,0,2,"Toledo, Ohio","12-year-old Robert Snyder wounded his principal, June Mapes, in her office at Arlington Public School when she declined his request to call a classmate. He fled the grounds, and wounded himself.[94]"
1/24/38,1,0,"Blencoe, Iowa",17-year-old Edward Marley was accidentally killed by a fellow actor while rehearsing for a play at Blencoe High School.[95]
5/6/40,5,2,"South Pasadena, CA","South Pasadena Junior High School murders: Outraged by his dismissal, following conflicts with other staff, thirty-eight-year-old Verlin H. Spencer shot and killed 62-year-old superintendent of the South Pasadena city schools George C. Bush, 50-year-old principal of South Pasadena High School John E. Alman, and 52-year-old School District business manager Will R. Speer. He then attempted to kill Bush's secretary, 32-year-old Dorothea Talbert; she was struck near the shoulder. He later shot and killed 45-year-old art teacher Ruth Sturgeon, with whom he'd been in conflict, fatally wounding her in the chest and, following an intense struggle, 35-year-old mechanical arts teacher Verner V. Vanderlip, another with whom he had a grievance. Spencer was cornered by police as he attempted to escape through the school cafeteria; as one officer aimed, Spencer pressed the .22 caliber automatic pistol against his right side and fired twice, critically wounding himself. Police later found a suicide note from Spencer to his wife, Polly. He survived his wounds and was tried for murder. Pleading guilty to all charges, he received 5 consecutive life terms. He was discharged from California's Department of Correction in 1977, aged 75. Verlin Spencer died January 11, 1991.[96][97][98][99]"
7/4/40,1,0,"Valhalla, New York","Angered by the refusal of his daughter, 15-year-old Melba, to leave a boarding school and return home, 47-year-old Joseph Moshell, went to the school, where he killed his daughter.[100]"
10/2/42,1,0,"New York City, New York","Irwin Goodman, 36-year-old mathematics teacher at William J. Gaynor Junior High School, was killed in the school corridor by a youth.[101]"
6/26/46,0,1,"New York City, New York","A 15-year-old student, who refused to give his pocket money to a gang of seven youths, was shot in the chest in the Public School 147 annex of Brooklyn Automotive Trades High School.[102]"
2/2/47,2,0,"Madill, Oklahoma","62-year-old Ellis Laird killed his estranged wife, 40-year-old teacher, Jessie Laird, inside her first grade classroom. He then took his own life. All of this took place in the presence of several pupils.[103]"
12/24/48,1,0,"New York City, New York","A 14-year-old student was fatally wounded in the head by a shot from fellow student, 17-year-old Robert Ross. The youth was accidentally shot when he chanced into range where Ross was target shooting near a lake at the school.[104]"
3/11/49,0,1,"New York City, New York",A 16-year-old student at Stuyvesant High School was accidentally shot in the arm by a fellow student who was â€˜showing offâ€™ with a pistol in a classroom.[105]
11/12/49,1,0,"Columbus, Ohio","Ohio State University freshman James Heer grabbed a .45 caliber handgun from the room of a Delta Tau Delta fraternity brother, and killed 21-year-old Jack McKeown, a senior and also a fraternity brother.[106]"
7/22/50,0,1,"New York City, New York",A 16-year-old boy was shot in the wrist and abdomen at the Public School 141 dance during an argument with a former classmate.[107]
1/24/51,1,0,"Alton, Illinois","61-year-old Henry Suhre, quartermaster at Western Military Academy, was killed in the cadet store on campus.[108]"
3/12/51,2,0,"Union Mills, North Carolina","Professor W.E. Sweatt, superintendent and teacher at the Alexander School, was killed by students, 16-year-old Billy Ray Powell, and 19-year-old Hugh Justice, whom he had reprimanded. The boys fled and also shot Wade Johnson, 15, for telling on them about a rule infraction.[109]"
6/4/51,1,0,"New York City, New York","Carl Arch, a 50-year-old intruder to a girls' gym class, was killed by a police officer at Manhattan's Central Commercial High School.[110]"
11/27/51,1,0,"St. Louis, Missouri","15-year-old student, David Brooks, was fatally shot as fellow pupils looked on. Two former students were sought by police.[111]"
4/9/52,1,0,"New York City, New York",A 15-year-old boarding school student shot a dean rather than give up his pin-up pictures of girls in bathing suits.[112]
7/14/52,1,0,"New York City, New York","Bayard Peakes walked into the offices of the American Physical Society (APS) at Columbia University, where he killed secretary Eileen Fahey. Peakes was reportedly upset that the APS had rejected a paper of his.[113]"
10/2/53,1,0,"Chicago, Illinois","14-year-old Bernice Turner, killed 14-year-old Pasquale Coletta inside the science classroom at Kelly High School. The shooting was later ruled to be accidental.[114]"
3/31/54,1,0,"Newton, Massachusetts","14-year-old John Frankenberger, was accidentally killed in a classroom at Day Junior High School when a pistol being held by a classmate discharged.[115]"
5/15/54,1,2,"Chapel Hill, North Carolina","Putnam Davis Jr. was killed during a fraternity house carnival at the Phi Delta Theta house at the University of North Carolina. William Joyner and Allen Long were wounded during the exchange of gunfire in their room. The incident followed an all-night beer party. Long told police that, while the three were drinking beer at 7Â a.m., Davis pulled out a gun and started shooting.[116]"
1/11/55,1,0,"Swarthmore, Pennsylvania","After some of his dormmates urinated on his mattress during hazing, Robert B. Bechtel, a 22-year-old student proctor at Swarthmore College, returned to his third floor Wharton Hall dorm with a shotgun and killed fellow student, 19-year-old Francis Holmes Strozier.[117] Betchtel was acquitted of murder by reason of insanity and spent five years in a psychiatric hospital.[118]"
5/4/56,1,2,"Seat Pleasant, Maryland","15-year-old student, Billy Ray Prevatte, fatally shot 32-year-old teacher, Frazer Cameron, and injured 25-year-old athletic coach, Francis Daniel Wagner, and 31-year-old teacher, Robert Hicks, at Maryland Park Junior High School. He just left, after growing tired of waiting outside the principal's office awaiting a reprimand for failing to turn in a written physical education assignment, and returned with a rifle.[119]"
10/20/56,0,1,"New York City, New York",A Booker T. Washington Junior High School student was wounded in the forearm by another student armed with a home-made weapon.[120]
10/2/57,0,1,"New York City, New York",A 16-year-old student was shot in the leg by a 15-year-old classmate at a city high school.[121]
3/4/58,0,1,"New York City, New York",A 17-year-old student shot a boy in the Manual Training High School.[122]
5/1/58,1,0,"Massapequa, New York",A 15-year-old Massapequa High School freshman was killed by a classmate in a washroom.[123]
9/24/59,1,0,"New York City, New York",Twenty-seven men and boys and an arsenal were seized in the Bronx as the police headed off a gang war resulting from the fatal shooting of a teenager at Morris High School.[124]
2/2/60,3,0,"Hartford City, Indiana",44-year-old school principal Leonard Redden killed teachers Harriett Robson and Minnie McFerren inside their classrooms at William Reed School. Redden then fled to a wooded area where he killed himself.[125]
3/30/60,1,0,"Alice, Texas","14-year-old Donna Dvorak, brought a target pistol to Dubose Junior High School, and fatally shot 15-year-old Bobby Whitford, in their 9th-grade science class. Dvorak believed Whitford posed a threat to one of her girlfriends.[126]"
6/7/60,2,0,"Blaine, Minnesota","41-year-old mail-carrier, Lester Betts, confronted 33-year-old principal, Carson Hammond, in his Blaine Elementary School office, and shot him dead with a 12-gauge shotgun.[127][128]"
1/4/61,1,0,"Delmont, South Dakota","Donald Kurtz, 17-year-old senior at Delmont High School, was fatally wounded by a .22 caliber bullet from a rifle. The shot, intended as a sound effect for a school play, hit him in the chest during a rehearsal just minutes before the play was to take place.[129]"
10/17/61,2,0,"Denver, Colorado","14-year-old Tennyson Beard, got into an argument with 15-year-old William Hachmeister, at Morey Junior High School, and wounded him. Another shot fatally struck 14-year-old Deborah Faith Humphrey.[130]"
11/5/63,0,1,"Cedar Rapids, Iowa","15-year-old Augie Holmquist, a student at Jefferson High School, was in the locker room just after third hour swimming class and about to enter the shower area when he was shot twice in the back and once in the hip with a .22 caliber revolver by another student, 16-year-old Randy Schultz. Schultz fled the locker room after the shooting and ran to his house where he told his parents to call the police. The boys had been playing water polo during swim class where Holmquist, who was a defensive standout on the championship Jefferson sophmore football team, apparently had ""ducked"" Shultz. Schultz objected to this, and Holmquist retaliated by hitting Schultz. Schultz, who also worked at the school library, held ""ill feelings"" towards Holmquist, according to police chief George Matias.[131]"
4/27/66,1,0,"Bay Shore, New York","48-year-old teacher, John S. Lane, was fatally wounded when he tried to stop 16-year-old student James Arthur Frampton. The youth was walking through the halls of Bay Shore Senior High School with a shotgun, searching for boys whom he had argued with earlier that day. Lane died about six weeks later of his wounds.[132]"
8/1/66,17,31,"Austin, Texas","University of Texas massacre: 25-year-old engineering student, Charles Whitman, got onto the observation deck at the University of Texas-Austin, from where he killed seventeen people and wounded thirty-one during a 96-minute shooting rampage. He had earlier murdered his wife and mother at their homes.[133][134][135] It was the deadliest shooting on a U.S. college campus until the Virginia Tech shooting in 2007."
10/5/66,1,1,"Grand Rapids, Minnesota","Grand Rapids High School student, 15-year-old David Black, killed school administrator Forrest Willey and seriously wounded fellow student, 14-year-old Kevin Roth.[136][137]"
11/12/66,5,2,"Mesa, Arizona","18-year-old Bob Smith, took seven people hostage at Rose-Mar College of Beauty and ordered them to lie down in a circle. He shot each in the head. Four women and a 3-year-old girl died, a woman and a baby were injured but survived. Police arrested Smith, who reportedly admired Richard Speck and Charles Whitman.[138]"
5/3/67,1,1,"Northlake, Illinois","18-year-old dropout, Michael Pisarski killed his former girlfriend, 17-year-old Christine Mitchell inside West Leyden High School. The school's athletic director was wounded.[139]"
1/30/68,1,0,"Miami, Florida","16-year-old Blanche Ward killed fellow student, 16-year-old Linda Lipscomb, at Miami Jackson High School. According to Ward, she was threatened with a razor by Lipscomb during an argument over a fountain pen, and in the ensuing struggle the gun went off.[140]"
